열1,열12
상담,논의
상의,논의
의논,논의
논하다,논하다
놀다,놀다
실업,놀다
놀리다,놀리다
놀이,놀이
놀다,놀이
놀이터,놀이터
농,농
농구,농구
농담,농담
농부,농부
농군,농부
농민,농부
농사,농사
농사일,농사
농업,농사
농아,농아
농아인,농아인
농아인의 날,농아인의 날
농인,농인
농아인,농인
농장,농장
높다,높다
높이,높이
높임말,높임말
존경어,높임말
존대어,높임말
존댓말,높임말
존칭어,높임말
높임법,높임법
경어법,높임법
놓아주다,놓아주다
뇌물,뇌물
뇌물을 주다,뇌물
뇌물을 주다,뇌물을 주다
매수,뇌물을 주다
뇌사,뇌사
누구,누구
누가,누구
뉘,누구
누락,누락
빠지다,누락
누룽지,누룽지
누르다,누르다
누명,누명
누설,누설
유출,누설
누이,누이
눈(이 내리다),눈
눈감아 주다,눈감아 주다
눈길,눈길
시선,눈길
바라보다,눈길
응시하다,눈길
쳐다보다,눈길
뉘우치다,뉘우치다
뉴스,뉴스
뉴질랜드,뉴질랜드
느끼다,느끼다
느낌,느끼다
뉘앙스,느끼다
늑대,늑대
이리,늑대
늘다,늘다
늘이다,늘다
늘리다,늘다
능하다,능하다
니카라과,니카라과
ㄷ,ㄷ
다급하다,다급하다
성급하다,다급하다
조급하다,다급하다
급급하다,다급하다
바쁘다,다급하다
급조하다,다급하다
변급하다,다급하다
다니다,다니다
다단계,다단계
다람쥐,다람쥐
다르다,다르다
상이하다,다르다
딴,다르다
다물다,다물다
다섯,다섯
오,다섯
다스리다,다스리다
통치,다스리다
다오,다오
다이빙,다이빙
다정,다정
우정,다정
우애,다정
우의,다정
친목,다정
가까이하다,다정
가깝다,다정
단란하다,다정
의좋다,다정
정답다,다정
친하다,다정
친교,다정
다행,다행
닦다,닦다
단계,단계
절차,단계
차례,단계
단련,단련
수련,단련
수행,단련
연단,단련
단번에,단번에
단속,단속
단어,단어
낱말,단어
단언,단언
단위,단위
제한,단위
한계,단위
한도,단위
한정,단위
단지,단지
단짝,단짝
단체,단체
그룹,단체
모임,단체
부,단체
부분,단체
부서,단체
서클,단체
회,단체
팀,단체
동아리,단체
무리,단체
단추,단추
달다,달다
당분,달다
당,달다
달러,달러
달리기,달리기
달리다,달리기
뛰다,달리기
달아오르다,달아오르다
달인,달인
달하다,달하다
도달,달하다
닭,닭
닮다,닮다
모사,닮다
베끼다,닮다
본뜨다,닮다
모방하다,닮다
담그다,담그다
잠기다,담그다
담당자,담당자
책임자,담당자
담배,담배
흡연,담배
답,답
대답,답
답답하다,답답하다
갑갑하다,답답하다
닷새,닷새
당구,당구
당근,당근
홍당무,당근
당기다,당기다
활,당기다
쏘다,당기다
당나귀,당나귀
나귀,당나귀
당뇨병,당뇨병
당뇨,당뇨병
당부,당부
부탁,당부
요청,당부
청하다,당부
요구,당부
당사자,당사자
본인,당사자
당사자,당사자
본인,당사자
당선자,당선자
당선인,당선자
당신,당신
당연하다,당연하다
마땅하다,당연하다
응당하다,당연하다
당연하다,당연하다
물론,당연하다
당하다,당하다
당황,당황
닿다,닿다
밀착,닿다
붙다,닿다
붙이다,닿다
대,대
대가,대가
대결,대결
대립,대결
대구,대구
대구시,대구
대궐,대궐
고궁,대궐
궁,대궐
궁궐,대궐
궁전,대궐
대나무,대나무
대다수,대다수
대부분,대다수
주로,대다수
대답,대답
답,대답
대들다,대들다
대략,대략
대강,대략
대충,대략
약,대략
대령,대령
대리,대리
대신,대리
대치,대리
대체,대리
전환,대리
바꾸다,대리
대리인,대리인
대립,대립
대치,대립
대머리,대머리
대명사,대명사
대법원,대법원
대비,대비
상왕비,대비
대비,대비
예비,대비
대위,대위
대응,대응
맞추다¹,대응
대인,대인
대장,대장
대전,대전
대전시,대전
대추,대추
대출금,대출금
대부금,대출금
대통령,대통령
대표,대표
대피,대피
도망,대피
도주,대피
도피,대피
줄행랑,대피
탈출,대피
내빼다,대피
달아나다,대피
도망가다,대피
도망치다,대피
빠져나가다,대피
대학,대학
대학교,대학
대학교,대학교
대학,대학교
대학생,대학생
대학원,대학원
대한민국,대한민국
한국,대한민국
대항하다,대항하다
대화,대화
대담,대화
대회,대회
대회,대회
회,대회
더,더
게다가,더
더구나,더
추가,더
더욱,더
더군다나,더
더러,더러
드물다,더러
더럽다,더럽다
때,더럽다
불결,더럽다
지저분하다,더럽다
더미,더미
무궁무진,더미
무진장,더미
산더미,더미
더하기,더하기
플러스,더하기
보태기,더하기
던지다,던지다
투수,던지다
데려가다,데려가다
안내,데려가다
인도,데려가다
인솔,데려가다
데리다,데려가다
이끌다,데려가다
데려오다,데려오다
덴마크,덴마크
도깨비,도깨비
도령,도령
총각,도령
도로,도로
길,도로
도맡다,도맡다
쓰다,도맡다
도미니카,도미니카
도배,도배
도살,도살
살육,도살
도서관,도서관
도시,도시
도회,도시
도회지,도시
도시,도시
도회,도시
시,도시
도시락,도시락
도우미,도우미
도의,도의
예의,도의
에티켓,도의
도입,도입
도장,도장
스탬프,도장
인,도장
인장,도장
도착,도착
당도,도착
닿다,도착
이르다,도착
도달,도착
도토리,도토리
독,독
독하다,독
독감,독감
독도,독도
독립문,독립문
독일,독일
독자,독자
외동아들,독자
외아들,독자
독재,독재
돈벌이,돈벌이
돋보기,돋보기
확대경,돋보기
돌다,돌다
미치다,돌다
돌려주다,돌려주다
반납,돌려주다
반려,돌려주다
반환,돌려주다
상환,돌려주다
돌보다,돌보다
보살피다,돌보다
보살핌,돌보다
돌아서다,돌아서다
돌아서다,돌아서다
갈다,돌아서다
교체하다,돌아서다
대체하다,돌아서다
돌연,돌연
홀연,돌연
돌잔치,돌잔치
돌출,돌출
돌파,돌파
돕다,돕다
거들다,돕다
기여,돕다
도움,돕다
보조,돕다
원조,돕다
지원,돕다
찬조,돕다
동갑,동갑
동년,동갑
동년배,동갑
동거,동거
동거인,동거인
동결,동결
얼다,동결
동경,동경
도쿄,동경
동기,동기
동창,동기
동창생,동기
동남아시아,동남아시아
동네,동네
마을,동네
동대문,동대문
동맹,동맹
동메달,동메달
동물원,동물원
동반자,동반자
동사,동사
동사무소,동사무소
동주민센터,동사무소
동생,동생
동시,동시
동아시아,동아시아
동안,동안
사이,동안
기간,동안
동양,동양
동요,동요
흔들다,동요
동전,동전
주화,동전
동족,동족
동쪽,동쪽
동,동쪽
동녘,동쪽
동방,동쪽
동해,동해
동행,동행
동반,동행
돼지,돼지
돼지고기,돼지고기
되다,되다
되돌아가다,되돌아가다
돌아가다,되돌아가다
되돌아오다,되돌아오다
돌아오다,되돌아오다
귀환,되돌아오다
되풀이,되풀이
된소리,된소리
경음,된소리
된장,된장
된장찌개,된장찌개
두 사람,두 사람
두근거리다,두근거리다
불안,두근거리다
설레다,두근거리다
울렁거리다,두근거리다
조마조마하다,두근거리다
두근두근,두근거리다
두껍다,두껍다
두드러지다,두드러지다
두려움,두려움
두부,두부
두절,두절
끊어지다,두절
두통,두통
둘 중 어느 것,둘 중 어느 것
둘,둘
이,둘
둘러대다,둘러대다
둘째,둘째
두 번째,둘째
뒤따르다,뒤따르다
수행,뒤따르다
따라가다,뒤따르다
따르다,뒤따르다
좇다,뒤따르다
쫓다,뒤따르다
쫓아가다,뒤따르다
뒤떨어지다,뒤떨어지다
뒤지다,뒤떨어지다
뒤엎다,뒤엎다
뒤집어엎다,뒤엎다
그러나,뒤엎다
그런데,뒤엎다
그렇지만,뒤엎다
하지만,뒤엎다
뒤적이다,뒤적이다
들추다,뒤적이다
캐다,뒤적이다
뒤쪽,뒤쪽
뒷머리,뒤쪽
후방,뒤쪽
드라마,드라마
드러눕다,드러눕다
누이다,드러눕다
눕다,드러눕다
눕히다,드러눕다
드럼,드럼
드레스,드레스
득하다,득하다
획득,득하다
든지,든지
든가,든지
듣다,듣다
소리,듣다
소식,듣다
청각,듣다
들,들
여러,들
여러가지,들
들다,들다
들어가다,들어가다
방문하다,들어가다
입장,들어가다
들이쉬다,들이쉬다
들키다,들키다
발각,들키다
들키다,들키다
탄로,들키다
듯하다,듯하다
듯싶다,듯하다
등기,등기
등대,등대
광탑,등대
등록비,등록비
등산,등산
등산가,등산가
산악인,등산가
등호,등호
등표,등호
디자이너,디자이너
도안자,디자이너
설계사,디자이너
디지털,디지털
ㄸ,ㄸ
따귀,따귀
따돌리다,따돌리다
따라다니다,따라다니다
따로,따로
분리하다,따로
따르다,따르다
딱 맞다,딱 맞다
딸기,딸기
땅,땅
육지,땅
토지,땅
땅콩,땅콩
때,때
경우,때
시기,때
시대,때
시절,때
무렵,때
즈음,때
때리다,때리다
때리다,때리다
손찌검,때리다
패다,때리다
후려치다,때리다
때문,때문
바람,때문
탓,때문
말미암다,때문
인하다,때문
-니까,때문
떠나갔다,떠나갔다
떠나다,떠나다
송별,떠나다
이별,떠나다
작별,떠나다
헤어지다,떠나다
떠들다,떠들다
떠맡다,떠맡다
떡,떡
떡국,떡국
떨다,떨다
떨리다,떨다
떨림,떨다
또,또
그리고,또
다시,또
똑같다,똑같다
같다,똑같다
동일하다,똑같다
똑똑하다,똑똑하다
영리하다,똑똑하다
똥,똥
대변,똥
뚱뚱이,뚱뚱이
뚱뚱보,뚱뚱이
뚱보,뚱뚱이
뚱땡이,뚱뚱이
뚱뚱하다,뚱뚱하다
비대,뚱뚱하다
살찌다,뚱뚱하다
뛰다,뛰다
뛰어나다,뛰어나다
뜨개질,뜨개질
뜨겁다,뜨겁다
화끈,뜨겁다
뜨다,뜨다
개안,뜨다
뜨다,뜨다
동,뜨다
해돋이,뜨다
뜻밖에,뜻밖에
뜻밖에,뜻밖에
의외,뜻밖에
띄다,띄다
뜨이다,띄다
띠,띠
띵하다,띵하다
ㄹ,ㄹ
ㄹ 리 없다,ㄹ 리 없다
라디오,라디오
라면,라면
라이벌,라이벌
맞수,라이벌
러시아,러시아
럭비,럭비
런던,런던
레몬,레몬
레바논,레바논
레슬링,레슬링
레즈비언,레즈비언
로그인,로그인
로또 복권,로또 복권
로마,로마
루마니아,루마니아
룩셈부르크,룩셈부르크
리,리
리더,리더
지도자,리더
리모컨,리모컨
리비아,리비아
리투아니아,리투아니아
ㅁ,ㅁ
마누라,마누라
미시즈,마누라
배우자,마누라
부인,마누라
아내,마누라
처,마누라
마늘,마늘
마다,마다
마라톤,마라톤
마르다,마르다
야위다,마르다
여위다,마르다
수척하다,마르다
마리아,마리아
마리아,마리아
성모마리아,마리아
마비,마비
마술,마술
요술,마술
마스크,마스크
마시다,마시다
마약,마약
아편,마약
중독,마약
탐닉,마약
마음,마음
심리,마음
심정,마음
마음에 들다,마음에 들다
마이너스,마이너스
감표,마이너스
덜기,마이너스
빼기,마이너스
빼기표,마이너스
뺄셈표,마이너스
뺄셈 부호,마이너스
마이크,마이크
마이크로폰,마이크
마저,마저
마주 보다,마주 보다
마주치다,마주치다
마중,마중
마지못하다,마지못하다
무릅쓰다,마지못하다
불구하다,마지못하다
마찬가지,마찬가지
같다,마찬가지
동일,마찬가지
맞다,마찬가지
동,마찬가지
똑같다,마찬가지
마찬가지,마찬가지
피장파장,마찬가지
매일반,마찬가지
매한가지,마찬가지
마치,마치
척하다,마치
체하다,마치
처럼,마치
마침,마침
딱 맞다,마침
알맞다,마침
마카오,마카오
마케도니아,마케도니아
막걸리,막걸리
막내딸,막내딸
막내,막내딸
막내아들,막내아들
막내,막내아들
막다,막다
막히다,막다
먹다,막다
만,만
만,만
뿐,만
다만,만
단지,만
오로지,만
오직,만
한낱,만
만나다,만나다
만두,만두
만인,만인
만점,만점
만족,만족
여유,만족
자신,만족
충족,만족
넉넉하다,만족
늠름하다,만족
당당하다,만족
떳떳하다,만족
충분하다,만족
푸짐하다,만족
풍부하다,만족
듬뿍,만족
실컷,만족
만큼,만큼
어치,만큼
정도,만큼
-쯤,만큼
만화,만화
만화가,만화가
만화책,만화책
많다,많다
흔하다,많다
맏며느리,맏며느리
맏아들,맏아들
장남,맏아들
말,말
말하다,말
언어,말
말,말
승마,말
말다툼,말다툼
언쟁,말다툼
말싸움,말다툼
설전,말다툼
입씨름,말다툼
말레이시아,말레이시아
말리다,말리다
말실수,말실수
실언,말실수
실구,말실수
실어,말실수
말실수,말실수
실언,말실수
실구,말실수
실어,말실수
말썽,말썽
말씀,말씀
말없다,말없다
묵묵하다,말없다
침묵,말없다
함구,말없다
말을 바꾸다,말을 바꾸다
맛없다,맛없다
망각,망각
잊다,망각
잊어버리다,망각
망설이다,망설이다
주저,망설이다
머무적거리다,망설이다
머뭇거리다,망설이다
서슴다,망설이다
망신(을 당하다),망신
망신,망신
체면을 구기다,망신
망치,망치
망하다,망하다
도산,망하다
파산,망하다
망치다,망하다
망하다,망하다
멸망,망하다
붕괴,망하다
쇠망,망하다
무너지다,망하다
부서지다,망하다
허물어지다,망하다
헐다,망하다
맞다,맞다
딱,맞다
맞바꾸다,맞바꾸다
교환하다,맞바꾸다
바꾸다,맞바꾸다
맞벌이,맞벌이
맞선,맞선
맞지 않다,맞지 않다
어울리지 않다,맞지 않다
적합하지 않다,맞지 않다
조화롭지 않다,맞지 않다
맞지 않다,맞지 않다
적합하지 않다,맞지 않다
맡기다,맡기다
소장,맡기다
놓다,맡기다
놓아두다,맡기다
두다,맡기다
맡기다,맡기다
임명,맡기다
매,매
매니큐어,매니큐어
매미,매미
매음녀,매음녀
매춘부,매음녀
창녀,매음녀
매일,매일
매장,매장
매주,매주
매진,매진
고갈,매진
소모,매진
동나다,매진
매진되다,매진
바닥나다,매진
없애다,매진
다 팔리다,매진
매출액,매출액
매표소,매표소
매혹,매혹
매력,매혹
맥박,맥박
맥,맥박
맥없다,맥없다
맥주,맥주
맨몸,맨몸
가진 것이 없다,맨몸
맵다,맵다
맵시,맵시
태,맵시
맹세,맹세
맹서,맹세
맹학교,맹학교
맹인학교,맹학교
머리,머리
뇌,머리
두뇌,머리
머리카락,머리카락
모발,머리카락
두발,머리카락
머리털,머리카락
머리핀,머리핀
머무르다,머무르다
존재,머무르다
체류,머무르다
계시다,머무르다
묵다,머무르다
먹,먹
먹을 갈다,먹
먹구름,먹구름
먹장구름,먹구름
먹다,먹다
식사,먹다
먹이다,먹이다
먼데,먼데
먼 곳,먼데
먼동,먼동
먼지,먼지
티끌,먼지
멀다,멀다
멀리,멀다
멀리하다,멀리하다
멀미,멀미
메스껍다,멀미
멋쟁이,멋쟁이
멋지다,멋지다
멋,멋지다
멍,멍
멍들다,멍
멍청이,멍청이
멍청하다,멍청이
멍청하다,멍청하다
생각 없다,멍청하다
멍하다,멍하다
멍하니,멍하다
메기,메기
메뉴,메뉴
차림표,메뉴
메달,메달
멕시코,멕시코
멧돼지,멧돼지
산돼지,멧돼지
며느리,며느리
아가,며느리
자부,며느리
며칠,며칠
면도,면도
면목(이) 없다,면목 없다
비겁하다,면목 없다
면세,면세
면역,면역
면접,면접
멸치,멸치
명동,명동
명령,명령
분부,명령
명사,명사
명소,명소
명예,명예
명예 훼손,명예 훼손
명인,명인
명찰,명찰
명함,명함
명확하다,명확하다
정확,명확하다
똑똑하다,명확하다
뚜렷하다,명확하다
명료하다,명확하다
명백하다,명확하다
분명하다,명확하다
선명하다,명확하다
확실하다,명확하다
단연,명확하다
역력하다,명확하다
장장하다,명확하다
틀림없이,명확하다
모금,모금
모금,모금
수금,모금
헌금,모금
모기,모기
모독,모독
모두,모두
온통,모두
전부,모두
전체,모두
제반,모두
모든,모두
온,모두
다,모두
모조리,모두
몽땅,모두
죄다,모두
모래,모래
모레,모레
내일모레,모레
이틀,모레
이틀후,모레
모로코,모로코
모르는 척하다,모르는 척하다
시치미떼다,모르는 척하다
모르다,모르다
모르몬교,모르몬교
모범생,모범생
모세,모세
모순,모순
모습,모습
꼴,모습
모양,모습
상태,모습
상황,모습
장면,모습
형상,모습
형용,모습
형태,모습
모욕,모욕
모자(관계),모자
모자라다,모자라다
결손,모자라다
결핍,모자라다
부족,모자라다
모자람,모자라다
목,목
목격,목격
목공,목공
목록,목록
식순,목록
순서,목록
안건,목록
목메다,목메다
목사,목사
목소리,목소리
음성,목소리
발음,목소리
목청,목소리
언성,목소리
부르다,목소리
목수,목수
목공,목수
목요일,목요일
목욕,목욕
목욕탕,목욕탕
목자,목자
목적,목적
목적지,목적지
목탁,목탁
몰려가다,몰려가다
몰려들다,몰려가다
쇄도,몰려가다
몰아치다,몰아치다
몰염치,몰염치
몸동작,몸동작
몸가짐,몸동작
처신,몸동작
태도,몸동작
몸부림,몸부림
발버둥질,몸부림
몸살,몸살
몸짓,몸짓
못생기다,못생기다
못나다,못생기다
추하다,못생기다
밉다,못생기다
못하다,못하다
할 수 없다,못하다
몽골,몽골
묘사,묘사
묘지,묘지
무덤,묘지
무,무
무겁다,무겁다
부담,무겁다
부담감,무겁다
짐,무겁다
무게,무게
중량,무게
무관심,무관심
내외,무관심
외면,무관심
무궁화,무궁화
무너지다,무너지다
내려앉다,무너지다
무능력,무능력
무자격,무능력
무당,무당
무뚝뚝하다,무뚝뚝하다
무례,무례
무리,무리
억지로,무리
제재,무리
무미건조,무미건조
무사,무사
무고,무사
무상,무상
무선,무선
전기,무선
전자,무선
무섭다,무섭다
겁,무섭다
겁나다,무섭다
두려워하다,무섭다
두렵다,무섭다
무쇠,무쇠
쇠,무쇠
철,무쇠
무식,무식
무지,무식
무심,무심
무안,무안
무어냐,무어냐
무역,무역
무용수,무용수
무용가,무용수
무의미,무의미
무조건,무조건
무작정,무조건
무조건,무조건
봐주지 않다,무조건
넘어가지 않다,무조건
무지개,무지개
무찌르다,무찌르다
무치다,무치다
무한,무한
무효,무효
묵도,묵도
묵직하다,묵직하다
무겁다,묵직하다
묶다,묶다
매듭,묶다
문득,문득
언뜻,문득
문란,문란
교란,문란
짬뽕,문란
혼합,문란
섞다,문란
소동,문란
문법,문법
문어,문어
문의,문의
물음,문의
질문,문의
묻다,문의
물어보다,문의
여쭈다,문의
여쭙다,문의
-ㅂ니까,문의
문인,문인
문자,문자
글자,문자
문제,문제
문화,문화
문,문화
문화재,문화재
문화체육관광부,문화체육관광부
물,물
물가,물가
가격,물가
물건,물건
상품,물건
물들다,물들다
젖다,물들다
적시다,물들다
스미다,물들다
스며들다,물들다
묻다,물들다
물러나다,물러나다
물약,물약
물음표,물음표
미지수,물음표
설마,물음표
뭉치다,뭉치다
단결,뭉치다
단합,뭉치다
미-,미-
미처,미-
아직,미-
미국,미국
미군,미군
미국군,미군
미끄러지다,미끄러지다
미남,미남
미남자,미남
미녀,미녀
미인,미녀
미니스커트,미니스커트
미달,미달
미래,미래
다음,미래
앞날,미래
앞길,미래
장래,미래
장차,미래
향후,미래
미련,미련
어리석다,미련
미리,미리
미미하다,미미하다
미사,미사
미성년자,미성년자
미소,미소
미수,미수
미수연,미수연
미숙하다,미숙하다
미싱,미싱
봉제,미싱
재봉,미싱
미안,미안
미얀마,미얀마
미용,미용
미용사,미용사
미용실,미용실
미용원,미용실
미장원,미용실
미움,미움
미워하다,미움
밉다,미움
얄밉다,미움
미장,미장
미장공,미장공
미장이,미장공
미장쟁이,미장공
미치광이,미치광이
미치다,미치다
미터,미터
미흡,미흡
민주,민주
믿다,믿다
믿음,믿다
신뢰,믿다
신용,믿다
밀리미터,밀리미터
밀리,밀리미터
밀접하다,밀접하다
밑지다,밑지다
ㅂ,ㅂ
-ㅂ니다,#NAME?
-습니다,#NAME?
-ㅂ시다,#NAME?
-자,#NAME?
바깥,바깥
바나나,바나나
바느질,바느질
꿰매다,바느질
침선,바느질
바늘,바늘
바닥,바닥
바닥나다,바닥나다
비다,바닥나다
비우다,바닥나다
바둑,바둑
바람(을) 피우다,바람 피우다
바람,바람
바람이 불다,바람
가을,바람
불다,바람
바람나다,바람나다
바람,바람나다
바로,바로
바르다,바르다
바른 정신이 아니다,바른 정신이 아니다
바보,바보
천치,바보
바쁘다,바쁘다
분주하다,바쁘다
바지,바지
바캉스,바캉스
피서,바캉스
여름휴가,바캉스
바티칸시,바티칸시
박사,박사
박수,박수
박자,박수
손뼉,박수
박씨,박씨
박학,박학
유식,박학
박해,박해
짓밟다,박해
밖에,밖에
반,반
학급,반
반대,반대
반대,반대
반하다,반대
반-,반대
반대쪽,반대쪽
반려,반려
짝,반려
함께,반려
과,반려
쌍,반려
반발,반발
반항,반발
불복,반발
불순종,반발
저항,반발
어기다,반발
반복,반복
거듭,반복
수시로,반복
자꾸,반복
자주,반복
잦다,반복
여러 번,반복
연거푸,반복
반성,반성
반신반의,반신반의
반역자,반역자
역적,반역자
반장,반장
급장,반장
반짝,반짝
반짝이다,반짝
반찬,반찬
반창고,반창고
받다,받다
받다,받다
얻다,받다
타다,받다
받아라,받아라
발개지다,발개지다
붉히다,발개지다
발걸음,발걸음
발자국,발걸음
밟다,발걸음
걸음,발걸음
발견,발견
발군,발군
빼어나다,발군
발레,발레
발생,발생
생성,발생
나다,발생
나오다,발생
돋다,발생
생기다,발생
솟다,발생
트다,발생
발송,발송
보내다,발송
(편지 등을)부치다,발송
발신,발신
송신,발신
전보,발신
전신,발신
발전,발전
발전,발전
발달,발전
번영,발전
진흥,발전
향상,발전
발전소,발전소
발표,발표
광고,발표
표시,발표
표현,발표
나타내다,발표
드러내다,발표
밝히다,밝히다
밤,밤
어둡다,밤
껌껌하다,밤
어둠,밤
깜깜하다,밤
캄캄하다,밤
밤새다,밤새다
밤색,밤색
칡,밤색
방,방
방관,방관
방임,방관
내버리다,방관
방치,방관
방귀,방귀
방글라데시,방글라데시
방금,방금
방재,방금
방뇨,방뇨
소변,방뇨
오줌,방뇨
방문,방문
방문자,방문자
방법,방법
요령,방법
방식,방법
방송,방송
방송국,방송국
방심,방심
부주의,방심
방어,방어
방지,방어
수비,방어
막다,방어
저지,방어
거절,방어
차단,방어
방학,방학
밭,밭
배,배
갑절,배
곱,배
곱절,배
배,배
선박,배
선척,배
배구,배구
배급소,배급소
배낭,배낭
배다,배다
배달,배달
배달,배달
배송,배달
배드민턴,배드민턴
배반,배반
배부,배부
배부르다,배부르다
배부르다,배부르다
부르다,배부르다
배신(당하다),배신
배신(하다),배신
배우,배우
연기자,배우
배우다,배우다
배짱,배짱
배추,배추
배탈,배탈
배회,배회
방황,배회
돌아다니다,배회
헤매다,배회
배후,배후
백,백
일백,백
백,백
하양,백
하얗다,백
허옇다,백
희다,백
백색,백
흰색,백
치아,백
이,백
이빨,백
백두산,백두산
장백산,백두산
백만,백만
백모,백모
큰어머니,백모
백부,백부
큰아버지,백부
백색,백색
흰색,백색
하얀색,백색
백일,백일
백날,백일
백점,백점
백제,백제
백조,백조
백지,백지
용지,백지
종이,백지
백혈병,백혈병
백화,백화
백화점,백화점
뱀,뱀
뱃사람,뱃사람
선원,뱃사람
뱉다,뱉다
침,뱉다
타액,뱉다
버리다,버리다
폐기,버리다
폐하다,버리다
버섯,버섯
버스,버스
버튼,버튼
번민,번민
벌,벌
벌다,벌다
범인,범인
죄인,범인
범죄,범죄
죄,범죄
법,법
법규,법
법률,법
법칙,법
법무,법무
법원,법원
재판소,법원
법정,법정
재판정,법정
베네수엘라,베네수엘라
베드로,베드로
베트남,베트남
벨기에,벨기에
벼락,벼락
벽,벽
벽돌,벽돌
변덕스럽다,변덕스럽다
변덕,변덕스럽다
변명,변명
변하다,변하다
변질,변하다
변화,변하다
변환,변하다
돌아서다,변하다
변호사,변호사
별,별
별로,별로
그다지,별로
별세,별세
타계,별세
병가,병가
병동,병동
병석,병석
병상,병석
병원,병원
병원,병원
의원,병원
병자,병자
환자,병자
병장,병장
보건소,보건소
보고,보고
아뢰다,보고
보고서,보고서
보고서,보고서
보관,보관
보관소,보관소
보내다,보내다
보내다,보내다
파견,보내다
보다,보다
보다,보다
시각,보다
보도,보도
보따리,보따리
짐,보따리
자루,보따리
보라,보라
보라색,보라
보람,보람
보류,보류
유보,보류
보름,보름
보름날,보름
삼오,보름
보리쌀,보리쌀
보리,보리쌀
보물,보물
보석,보물
보화,보물
보상금,보상금
배상금,보상금
보석상,보석상
보수 교육,보수 교육
보수,보수
수리,보수
수선,보수
보았다,보았다
보약,보약
보이다,보이다
(현상을)보다,보이다
보자기,보자기
보조 공학 기기,보조 공학 기기
보조견,보조견
보증,보증
보장,보증
보증금,보증금
보지,보지
음부,보지
치부,보지
보청기,보청기
보행자,보행자
보험료,보험료
보험금,보험료
보호,보호
보호 수당,보호 수당
보호자,보호자
복구,복구
복권,복권
복귀,복귀
환원,복귀
되돌리다,복귀
그대로,복귀
복부,복부
복사,복사
카피,복사
복사,복사
카피,복사
복사기,복사기
복수,복수
원수,복수
적,복수
복숭아,복숭아
복습,복습
복잡하다,복잡하다
만원,복잡하다
혼잡,복잡하다
붐비다,복잡하다
복잡하다,복잡하다
산만하다,복잡하다
복종,복종
순응,복종
순종,복종
복지 시설,복지 시설
복지 카드,복지 카드
복지,복지
복리,복지
복지재단,복지재단
복직,복직
복임,복직
복판,복판
가운데,복판
중심,복판
한가운데,복판
볶다,볶다
본 적 없다,본 적 없다
본부,본부
본인,본인
본질,본질
본성,본질
근성,본질
부성,본질
부질,본질
본바탕,본질
성근,본질
솔성,본질
천질,본질
체성,본질
품성,본질
품질,본질
볼리비아,볼리비아
볼링,볼링
볼펜,볼펜
펜,볼펜
봄,봄
양중,봄
봉급생활자,봉급생활자
봉급자,봉급생활자
샐러리맨,봉급생활자
봉사,봉사
공양,봉사
기증,봉사
제출,봉사
드리다,봉사
바치다,봉사
부끄럽다,부끄럽다
부끄러움,부끄럽다
수줍다,부끄럽다
수치,부끄럽다
창피,부끄럽다
부대,부대
부두,부두
항구,부두
항,부두
부드럽다,부드럽다
스펀지,부드럽다
말랑하다,부드럽다
무르다,부드럽다
물렁하다,부드럽다
보드랍다,부드럽다
유연하다,부드럽다
물렁물렁,부드럽다
말랑거리다,부드럽다
말랑대다,부드럽다
부딪히다,부딪히다
부랴부랴,부랴부랴
허겁지겁,부랴부랴
허둥거리다,부랴부랴
 허둥대다,부랴부랴
부러지다,부러지다
고장나다,부러지다
부럽다,부럽다
부르다,부르다
소환,부르다
호출,부르다
부모님,부모님
부모,부모님
양친,부모님
어버이,부모님
부반장,부반장
부부,부부
내외,부부
부처,부부
부산,부산
부산시,부산
부속,부속
부아,부아
부엌,부엌
부여,부여
부유,부유
부인,부인
부자,부자
자산가,부자
재산가,부자
부장,부장
대장,부장
부정,부정
부진,부진
퇴보,부진
퇴화,부진
하강,부진
하락,부진
후퇴,부진
부채,부채
부처,부처
부처님,부처님
부추기다,부추기다
부채질,부추기다
추키다,부추기다
부터,부터
이래,부터
부피,부피
양,부피
용적,부피
체적,부피
부하,부하
수하,부하
부활절,부활절
부회장,부회장
부회장,부회장
북녘,북녘
북쪽,북녘
북,북녘
북방,북녘
북측,북녘
북아일랜드,북아일랜드
북어,북어
명태,북어
건태,북어
북한,북한
이북,북한
분,분
사람,분
분리,분리
분석,분석
해석,분석
분수,분수
분열,분열
갈라지다,분열
분위기,분위기
분필,분필
백묵,분필
분하다,분하다
분홍,분홍
분홍색,분홍
핑크,분홍
핑크색,분홍
불,불
불타다,불
불길,불
불꽃,불
타다,불
활활,불
활활타다,불
불가능,불가능
불능,불가능
불가리아,불가리아
불경,불경
불고기,불고기
불교,불교
불구,불구
장애,불구
불국사,불국사
불면,불면
불법,불법
불상,불상
불쌍하다,불쌍하다
가련하다,불쌍하다
가엾다,불쌍하다
애처롭다,불쌍하다
측은하다,불쌍하다
자비,불쌍하다
불어,불어
프랑스어,불어
불평,불평
불필요,불필요
불합격,불합격
낙제,불합격
지다,불합격
불행,불행
불허,불허
불화,불화
붓다,붓다
부풀다,붓다
부풀리다,붓다
부어있다,붓다
붕대,붕대
붙들다,붙들다
검거,붙들다
붙잡다,붙들다
잡다,붙들다
브라질,브라질
브래지어,브래지어
브라,브래지어
비,비
강우,비
비가 내리다,비
비교,비교
견주다,비교
대조,비교
비교,비교
비례,비교
