열1,열12
갚았다,갚았다
개,개
강아지,개
개그맨,개그맨
개그우먼,개그맨
개나리,개나리
개다,개다
개키다,개다
싸다,개다
포장,개다
개막식,개막식
개식,개막식
개미,개미
개별,개별
각,개별
각각,개별
각기,개별
개개,개별
낱낱이,개별
제각기,개별
각자,개별
개성,개성
개경,개성
개안,개안
깨닫다,개안
개울,개울
시내,개울
산천,개울
개월,개월
몇 개월,개월
개의,개의
개인,개인
사,개인
개천절,개천절
개천일,개천절
개학,개학
개회,개회
갱,갱
깡패,갱
불량배,갱
갱생,갱생
회복,갱생
소생,갱생
재생,갱생
회생,갱생
거두다,거두다
거두다,거두다
수확,거두다
거래,거래
거리,거리
길거리,거리
통행,거리
거미,거미
거부권,거부권
거부당하다,거부당하다
기각,거부당하다
부결,거부당하다
거북,거북
거세다,거세다
맹렬하다,거세다
진하다,거세다
힘차다,거세다
거스름돈,거스름돈
잔액,거스름돈
잔금,거스름돈
잔돈,거스름돈
거의,거의
거개,거의
대부분,거의
주로,거의
거인,거인
거저,거저
공것,거저
공짜,거저
무료,거저
면제,거저
면하다,거저
거제도,거제도
거주지,거주지
거지,거지
걸인,거지
거짓,거짓
허위,거짓
거처,거처
거치다,거치다
방해,거치다
지장,거치다
거행,거행
하다,거행
걱정,걱정
근심,걱정
상심,걱정
시름,걱정
염려,걱정
우수,걱정
괴롭다,걱정
건강,건강
기력,건강
강건하다,건강
튼튼하다,건강
건너다,건너다
횡단,건너다
건너다,건너다
넘다,건너다
넘어가다,건너다
침범,건너다
건립,건립
설립,건립
수립,건립
세우다,건립
건빵,건빵
건설,건설
건축,건설
건설교통부,건설교통부
건의,건의
제의,건의
건전,건전
건조,건조
건청,건청
건청인,건청인
건축가,건축가
걷다,걷다
걸음,걷다
도보,걷다
보행,걷다
걷어붙이다,걷어붙이다
적극,걷어붙이다
걷어차다,걷어차다
걷히다,걷히다
걸레,걸레
행주,걸레
걸리다,걸리다
검도,검도
검문소,검문소
검사,검사
검은색,검은색
검정색,검은색
흑,검은색
흑색,검은색
검정,검정
검다,검정
까맣다,검정
타다,검정
흑,검정
것,것
몫,것
소유,것
겉,겉
겉멋,겉멋
게시,게시
제시,게시
게양,게양
달다,게양
게우다,게우다
구토,게우다
토하다,게우다
게으름,게으름
게으르다,게으름
게으름을 피우다,게으름
나태,게으름
태만,게으름
게으름뱅이,게으름뱅이
게으름쟁이,게으름뱅이
겨레,겨레
동포,겨레
겨루다,겨루다
겨루기,겨루다
경쟁,겨루다
고사,겨루다
고시,겨루다
수험,겨루다
승부,겨루다
시합,겨루다
시험,겨루다
겨울옷,겨울옷
동복,겨울옷
격일,격일
격주,격주
격퇴,격퇴
물리치다,격퇴
퇴치,격퇴
격파,격파
깨어지다,격파
겪다,겪다
당하다,겪다
-던,겪다
-았(-었),겪다
적,겪다
견인,견인
결과,결과
결말,결과
마지막,결과
최종,결과
최후,결과
결국,결과
드디어,결과
마침내,결과
결단,결단
결백,결백
깔끔하다,결백
깨끗하다,결백
말끔하다,결백
산뜻하다,결백
소박하다,결백
순결,결백
순수,결백
정결,결백
청결,결백
결석,결석
결손,결손
손해,결손
손실,결손
결의,결의
결심,결의
결정,결정
정하다,결정
결핵,결핵
폐결핵,결핵
폐병,결핵
결핵균,결핵균
결혼,결혼
혼인,결혼
화혼,결혼
결혼식,결혼식
혼례,결혼식
혼례식,결혼식
겸손,겸손
겸허,겸손
겸하다,겸하다
겹겹이,겹겹이
겹치다,겹치다
경건하다,경건하다
경계,경계
경고,경고
경과,경과
경위,경과
경과,경과
흐르다,경과
경기도,경기도
경기장,경기장
경력,경력
이력,경력
경마장,경마장
경멸,경멸
깔보다,경멸
멸시,경멸
업신여기다,경멸
경비,경비
보초,경비
수위,경비
파수,경비
지키다,경비
경비병,경비병
병위,경비병
경비실,경비실
경비원,경비원
파수꾼,경비원
경상남도,경상남도
경남,경상남도
경상도,경상도
경상북도,경상북도
경북,경상북도
경색,경색
경악,경악
깜짝,경악
놀라다,경악
경전,경전
경장,경전
경제,경제
경주,경주
경주시,경주
경찰,경찰
순경,경찰
순사,경찰
경찰관,경찰관
경관,경찰관
경찰,경찰관
경찰서,경찰서
경치,경치
관람,경치
구경,경치
풍경,경치
경험,경험
계,계
계급,계급
계기,계기
동기,계기
말미암다,계기
-자,계기
계단,계단
층계,계단
계산,계산
수,계산
셈,계산
세다¹,계산
헤아리다,계산
계산대,계산대
카운터,계산대
계속,계속
연속,계속
이어,계속
내내,계속
-면서,계속
지속,계속
끊임없이,계속
계승,계승
승계,계승
계승자,계승자
계승인,계승자
계약,계약
맺다,계약
예매,계약
예약,계약
계약금,계약금
계약서,계약서
계율,계율
계절,계절
사계,계절
사계절,계절
사철,계절
철,계절
시절,계절
철기,계절
계획,계획
고,고
옛,고
고구려,고구려
고급,고급
고기,고기
가죽,고기
살,고기
고기,고기
물고기,고기
생선,고기
헤엄치다,고기
고난,고난
고생,고난
고초,고난
고통,고난
고등,고등
고등학교,고등학교
고교,고등학교
고등학생,고등학생
고교생,고등학생
고려,고려
고루고루,고루고루
유사,고루고루
흡사,고루고루
근사하다,고루고루
비슷하다,고루고루
유사하다,고루고루
흡사히,고루고루
고모,고모
고무,고무
고무신,고무신
고무줄,고무줄
고민,고민
고발,고발
고자질,고발
일러바치다,고발
고백,고백
고해,고백
고속도로,고속도로
고속버스,고속버스
고속철도,고속철도
고속철,고속철도
고아,고아
고아원,고아원
보육원,고아원
고양,고양
고양이,고양이
고용,고용
채용,고용
고의,고의
고의,고의
일부러,고의
고인,고인
사망자,고인
(죽은자)사자,고인
고장,고장
꺾다,고장
부러지다,고장
고정,고정
고조할머니,고조할머니
고조할아버지,고조할아버지
고집,고집
고추,고추
고추장,고추장
고춧가루,고춧가루
고층,고층
고프다,고프다
시장,고프다
굶다,고프다
배고프다,고프다
고함,고함
비명,고함
아우성,고함
부르짖다,고함
외치다,고함
지르다,고함
소리를 지르다,고함
소리치다,고함
고향,고향
고환,고환
곡괭이,곡괭이
곤두박질,곤두박질
곤두질,곤두박질
떨어지다,곤두박질
곤란,곤란
곧,곧
금명간,곧
신속,곧
이르다,곧
냉큼,곧
빨리,곧
속히,곧
썩,곧
어서,곧
얼른,곧
이내,곧
일찍,곧
일찍이,곧
-자,곧
곧다,곧다
단정하다,곧다
똑바르다,곧다
바르다,곧다
반듯하다,곧다
올바르다,곧다
점잖다,곧다
똑바르다,곧다
올곧다,곧다
정하다,곧다
골머리를 앓다,골머리를 앓다
골치(가) 아프다,골머리를 앓다
골목,골목
골목길,골목
골몰,골몰
전념,골몰
집중,골몰
골똘하다,골몰
골인,골인
골짜기,골짜기
산골,골짜기
산골짜기,골짜기
골키퍼,골키퍼
골프,골프
곰보,곰보
곱,곱
곱하기,곱
곱하다,곱
곱빼기,곱빼기
배가,곱빼기
곳,곳
위치,곳
장소,곳
터,곳
곳간,곳간
공,공
공로,공
공,공
볼,공
공,공
영,공
공감,공감
공격,공격
공공 기관,공공 기관
공공시설,공공시설
공공장소,공공장소
공급,공급
공립,공립
공무 집행 방해죄,공무 집행 방해죄
공무원,공무원
공복,공무원
공문,공문
공문서,공문
공박,공박
문초,공박
심문,공박
추궁,공박
캐어묻다,공박
공범,공범
공동정범,공범
공범자,공범
공부,공부
학업,공부
